datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
149520,409,5,15,15-May-0409 00:00:00,280.410835555138,281.917885381815,278.903785728462
150008,410,9,15,15-Sep-0410 00:00:00,276.376023559223,274.139586302053,278.612460816393
150495,412,1,15,15-Jan-0412 00:00:00,279.502565480818,280.181785424147,278.823345537489
150981,413,5,15,15-May-0413 00:00:00,280.388425405908,281.895475232585,278.881375579232
151469,414,9,15,15-Sep-0414 00:00:00,276.345433427768,274.108996170598,278.581870684938
151956,416,1,15,15-Jan-0416 00:00:00,279.44663239991,280.125852343239,278.767412456581
152442,417,5,15,15-May-0417 00:00:00,280.341305255086,281.848355081763,278.83425542841
152930,418,9,15,15-Sep-0418 00:00:00,276.270138516087,274.033701258917,278.506575773257
153417,420,1,15,15-Jan-0420 00:00:00,279.385318130485,280.064538073814,278.706098187156
153903,421,5,15,15-May-0421 00:00:00,280.253250247024,281.760300073701,278.746200420348
154391,422,9,15,15-Sep-0422 00:00:00,276.209723762582,273.973286505412,278.446161019752
154878,424,1,15,15-Jan-0424 00:00:00,279.32046407155,279.999684014879,278.641244128221
155364,425,5,15,15-May-0425 00:00:00,280.190914938319,281.697964764996,278.683865111643
155852,426,9,15,15-Sep-0426 00:00:00,276.146974350642,273.910537093472,278.383411607812
156339,428,1,15,15-Jan-0428 00:00:00,279.248548275163,279.927768218492,278.569328331834
156825,429,5,15,15-May-0429 00:00:00,280.128566300828,281.635616127505,278.621516474152
157313,430,9,15,15-Sep-0430 00:00:00,276.075262494294,273.838825237124,278.311699751464
157800,432,1,15,15-Jan-0432 00:00:00,279.167993196891,279.84721314022,278.488773253562
158286,433,5,15,15-May-0433 00:00:00,280.040475500714,281.547525327391,278.533425674038
158774,434,9,15,15-Sep-0434 00:00:00,275.977619549566,273.741182292396,278.214056806736
159261,436,1,15,15-Jan-0436 00:00:00,279.063707775921,279.74292771925,278.384487832592
159747,437,5,15,15-May-0437 00:00:00,279.938042293484,281.445092120161,278.430992466808
160235,438,9,15,15-Sep-0438 00:00:00,275.863000301396,273.626563044226,278.099437558566
160722,440,1,15,15-Jan-0440 00:00:00,278.961437641152,279.640657584481,278.282217697823
161208,441,5,15,15-May-0441 00:00:00,279.835374820831,281.342424647508,278.328324994155
161696,442,9,15,15-Sep-0442 00:00:00,275.786345054653,273.549907797483,278.022782311823
162183,444,1,15,15-Jan-0444 00:00:00,278.913274106726,279.592494050055,278.234054163397
162669,445,5,15,15-May-0445 00:00:00,279.771821991828,281.278871818505,278.264772165152
163157,446,9,15,15-Sep-0446 00:00:00,275.734960990921,273.498523733751,277.971398248091
163644,448,1,15,15-Jan-0448 00:00:00,278.826897938372,279.506117881701,278.147677995043
164130,449,5,15,15-May-0449 00:00:00,279.702961240001,281.210011066678,278.195911413325
164618,450,9,15,15-Sep-0450 00:00:00,275.656853263945,273.420416006775,277.893290521115
165105,452,1,15,15-Jan-0452 00:00:00,278.752034075528,279.431254018857,278.072814132199
165591,453,5,15,15-May-0453 00:00:00,279.609088072004,281.116137898681,278.102038245328
166079,454,9,15,15-Sep-0454 00:00:00,275.563848023682,273.327410766512,277.800285280852
166566,456,1,15,15-Jan-0456 00:00:00,278.662017340694,279.341237284023,277.982797397365
167052,457,5,15,15-May-0457 00:00:00,279.533472341774,281.040522168451,278.026422515098
167540,458,9,15,15-Sep-0458 00:00:00,275.477505229378,273.241067972208,277.713942486548
168027,460,1,15,15-Jan-0460 00:00:00,278.573332147202,279.252552090531,277.894112203873
168513,461,5,15,15-May-0461 00:00:00,279.448843018071,280.955892844748,277.941793191395
169001,462,9,15,15-Sep-0462 00:00:00,275.398093322814,273.161656065644,277.634530579984
169488,464,1,15,15-Jan-0464 00:00:00,278.491309970269,279.170529913598,277.81209002694
169974,465,5,15,15-May-0465 00:00:00,279.361197966436,280.868247793113,277.85414813976
170462,466,9,15,15-Sep-0466 00:00:00,275.313856794513,273.077419537343,277.550294051683
170949,468,1,15,15-Jan-0468 00:00:00,278.409551583609,279.088771526938,277.73033164028
171435,469,5,15,15-May-0469 00:00:00,279.276546280574,280.783596107251,277.769496453898
171923,470,9,15,15-Sep-0470 00:00:00,275.227115561586,272.990678304416,277.463552818756
172410,472,1,15,15-Jan-0472 00:00:00,278.318571980656,278.997791923985,277.639352037327
172896,473,5,15,15-May-0473 00:00:00,279.19534985831,280.702399684987,277.688300031634
173384,474,9,15,15-Sep-0474 00:00:00,275.143507317134,272.907070059964,277.379944574304
173871,476,1,15,15-Jan-0476 00:00:00,278.229236050109,278.908455993438,277.55001610678
174357,477,5,15,15-May-0477 00:00:00,279.101030422612,280.608080249289,277.593980595936
174845,478,9,15,15-Sep-0478 00:00:00,275.048943939657,272.812506682487,277.285381196827
175332,480,1,15,15-Jan-0480 00:00:00,278.169100444945,278.848320388274,277.489880501616
175818,481,5,15,15-May-0481 00:00:00,279.046840758238,280.553890584915,277.539790931562
176306,482,9,15,15-Sep-0482 00:00:00,275.01714610088,272.78070884371,277.25358335805
176793,484,1,15,15-Jan-0484 00:00:00,278.129990136181,278.80921007951,277.450770192852
177279,485,5,15,15-May-0485 00:00:00,279.01233718409,280.519387010767,277.505287357414
177767,486,9,15,15-Sep-0486 00:00:00,274.953803270368,272.717366013198,277.190240527538
178254,488,1,15,15-Jan-0488 00:00:00,278.057074570593,278.736294513922,277.377854627264
178740,489,5,15,15-May-0489 00:00:00,278.936428328706,280.443478155383,277.42937850203
179228,490,9,15,15-Sep-0490 00:00:00,274.907079320122,272.670642062952,277.143516577292
